Grid	Lat/Lon hddd.ddddd°
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories
Waypoint	Lg1 Hyla	30-JUL-14 10:09:55	User Waypoint	N31.50634 W109.01338	1691 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Lg2 Hyla	30-JUL-14 12:04:50	User Waypoint	N31.50801 W109.00965	1682 m				Symbol & Name	Black	Flag, Blue							
Waypoint	M1	25-JUL-14 15:44:47	User Waypoint	N31.48782 W108.94587	1612 m				Symbol & Name	Black	Flag, Blue							
Waypoint	M2m2	25-JUL-14 16:46:34	User Waypoint	N31.49196 W108.94521	1629 m				Symbol & Name	Black	Flag, Blue							
Waypoint	M2M2 2GTRSNKHY	29-JUL-14 11:39:24	User Waypoint	N31.49940 W109.01892	1717 m				Symbol & Name	Black	Flag, Blue							
Waypoint	M6m2	25-JUL-14 16:44:03	User Waypoint	N31.49187 W108.94508	1627 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Md 10M2 HYLA	30-JUL-14 13:38:18	User Waypoint	N31.50935 W109.00692	1686 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Md 3M2 HYLA	30-JUL-14 13:27:14	User Waypoint	N31.50836 W109.00834	1687 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Md 4M2 NOHB	30-JUL-14 14:11:35	User Waypoint	N31.51174 W109.00307	1683 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Md Hyla	30-JUL-14 11:14:08	User Waypoint	N31.50633 W109.00993	1678 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Md Hyla 55	30-JUL-14 14:55:03	User Waypoint	N31.51440 W108.99756	1668 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Md Nohb	30-JUL-14 14:30:40	User Waypoint	N31.51222 W109.00111	1675 m				Symbol & Name	Black	Flag, Blue							
Waypoint	Md Nohb!	30-JUL-14 14:58:41	User Waypoint	N31.51468 W108.99741	1667 m				Symbol & Name	Black	Flag, Blue							
